DEGREE,EIGENVECTOR,BETWEENNESS,CLOSENESS 
0.02803738317757009,0.04934343521954683,0.00016025764729737463,0.4246031746031746
0.018691588785046728,0.02947849715903864,0.0,0.4083969465648855
0.05607476635514018,0.02643530383424702,0.002529112540574364,0.3767605633802817
0.009345794392523364,0.024114701320374247,0.0,0.3962962962962963
0.009345794392523364,0.013276501605864074,0.0,0.3519736842105263
0.21495327102803738,0.2121544330720908,0.014128264989138285,0.481981981981982
0.05607476635514018,0.0800240609023148,0.0026846067257619557,0.4533898305084746
0.018691588785046728,0.03739120292623832,0.0,0.4196078431372549
0.05607476635514018,0.07480138687399598,0.0008713470979718666,0.42971887550200805
0.06542056074766354,0.09150908272492468,0.0003648597738868983,0.4331983805668016
0.35514018691588783,0.2638991988657648,0.1779819692269607,0.5661375661375662
0.018691588785046728,0.022019544056915075,0.0002372135593789623,0.36394557823129253
0.05607476635514018,0.006530927742181028,0.07379650855228355,0.32228915662650603
0.018691588785046728,0.023203354170912363,0.0,0.36769759450171824
0.018691588785046728,0.01626329747152761,0.018691588785046728,0.3651877133105802
0.06542056074766354,0.0787565427657324,0.0025061150468076486,0.4349593495934959
0.009345794392523364,0.013276501605864074,0.0,0.3519736842105263
0.009345794392523364,0.0009984954174000616,0.0,0.2681704260651629
0.009345794392523364,0.024114701320374247,0.0,0.3962962962962963
0.018691588785046728,0.03606693361368276,0.0,0.4037735849056604
0.1588785046728972,0.15936911678869936,0.00996385965312241,0.46320346320346323
0.018691588785046728,0.02149641179959658,0.00029459337315782734,0.3566666666666667
0.009345794392523364,0.011952232293308511,0.0,0.33024691358024694
0.018691588785046728,0.022019544056915075,0.0002372135593789623,0.36394557823129253
0.037383177570093455,0.05770032726126188,0.000570051271277996,428
0.009345794392523364,0.016201995553174565,0.0,0.36271186440677966
0.009345794392523364,0.013276501605864074,0.0,0.3519736842105263
0.14953271028037382,0.1677235169183133,0.006101061535882471,0.4672489082969432
0.16822429906542055,0.16168878975172687,0.031277465347422886,0.4692982456140351
0.02803738317757009,0.03756111928590992,0.0,0.40074906367041196
0.07476635514018691,0.08574963803357741,0.007816455690402178,0.4692982456140351
0.018691588785046728,0.03739120292623832,0.0,0.4196078431372549
0.018691588785046728,0.02306094465276424,0.0,0.3651877133105802
0.018691588785046728,0.025228733899172583,Q0.00016025764729737463,0.3651877133105802
0.009345794392523364,0.008219910193732506,0.0,0.3057142857142857
0.009345794392523364,0.013276501605864074,0.0,0.3519736842105263
0.009345794392523364,0.008356892041715051,0.0,0.30484330484330485
0.04672897196261682,0.0458422807268056,0.00036513287203428826,0.34516129032258064
0.009345794392523364,0.00992685256504829,0.0,0.3203592814371258
0.009345794392523364,0.008569000345254136,0.0,0.30659025787965616
0.009345794392523364,0.008743042451051003,0.0,0.32228915662650603
0.018691588785046728,0.03739120292623832,0.0,0.4196078431372549
0.08411214953271028,0.07611933973712268,0.0048550388893101645,0.4652173913043478
0.037383177570093455,0.04762115589732578,0.0017059122528063047,0.4246031746031746
0.02803738317757009,0.03397177635022359,0.0004973475451236804,0.37282229965156793
0.018691588785046728,0.03268370166562838,0.0,0.39925373134328357
0.037383177570093455,0.055929245741649584,0.00024455722573378964,0.4262948207171315
0.037383177570093455,0.05982251109859171,2.578032431989455205,0.4083969465648855
0.05607476635514018,0.08484433560028795,0.00016847657353801743,0.4115384615384615
